ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,"A,t","Y,t","Y0,t","Y1,t",predicted_ite
0.574323051,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2220,2220.0,,-46.51147461
-0.566163541,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-158.41479492
-0.267695079,-0.659869394,-0.539296979,0.973877559,-0.24092149,1.542531618,1,2340,,2340.0,-120.71679688
-0.349307244,-0.659869394,0.229278258,0.973877559,-0.24092149,-0.648284928,1,2340,,2340.0,-64.40600586
1.097430811,-0.659869394,1.766428733,0.973877559,0.193224605,-0.648284928,0,2400,2400.0,,-79.2020264
-0.2172858,-0.659869394,-0.539296979,0.973877559,-0.24092149,1.542531618,0,2400,2400.0,,-70.059326172
0.024732431,-0.659869394,-1.307872216,0.973877559,-0.24092149,-0.648284928,1,2520,,2520.0,-179.0285645
0.193584553,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-158.4321289
-1.218488919,-0.659869394,0.229278258,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-157.25439453
0.241595805,-0.659869394,-0.539296979,0.973877559,-0.24092149,1.542531618,1,2520,,2520.0,-147.263916
-0.066880616,-0.659869394,-1.307872216,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-144.0913086
-1.321317796,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-143.1950684
-0.574223225,0.20266429,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-140.72875977
0.729090535,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-135.5292969
-0.770811768,-0.659869394,0.997853496,0.973877559,-0.24092149,1.542531618,0,2520,2520.0,,-134.5986328
-0.081632064,1.065197973,1.766428733,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-130.77758789
-0.081632064,1.065197973,1.766428733,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-130.77758789
-0.566163541,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-130.4057617
-0.821521411,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2520,2520.0,,-129.2941895
1.010012857,1.927731656,-0.539296979,0.973877559,0.193224605,-0.648284928,1,2520,,2520.0,-125.53588867
