ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,"A,t","Y,t","Y0,t","Y1,t",predicted_ite
0.971731034,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2280,2280.0,,-41.45458984
-0.010958039,1.065197973,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-83.2631836
-0.010958039,1.065197973,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-74.6262207
1.458593455,1.065197973,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-97.92285156
0.625221228,-0.659869394,-0.539296979,-1.026823126,0.193224605,-0.648284928,1,2340,,2340.0,-128.05932617
0.982881161,1.065197973,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-77.81958008
0.506867348,0.20266429,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-85.90112305
0.663293188,-0.659869394,0.229278258,-1.026823126,0.627370701,-0.648284928,0,2340,2340.0,,-111.5151367
0.862388355,1.065197973,-1.307872216,-1.026823126,-0.24092149,-0.648284928,0,2340,2340.0,,-139.2226563
0.353015628,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,1,2400,,2400.0,-46.57006836
1.854908559,-0.659869394,2.535003971,-1.026823126,-0.24092149,1.542531618,0,2400,2400.0,,-80.233398438
3.78755559,2.79026534,-0.539296979,-1.026823126,-0.24092149,-0.648284928,1,2520,,2520.0,-47.1242676
3.78755559,2.79026534,-0.539296979,-1.026823126,-0.24092149,-0.648284928,1,2520,,2520.0,-47.1242676
0.910130264,-0.659869394,-1.307872216,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-64.7365723
0.476861594,1.065197973,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-73.77294922
-0.361420016,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-41.09204102
-0.361420016,-0.659869394,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-141.09204102
0.323545029,-0.659869394,2.535003971,-1.026823126,-0.24092149,1.542531618,0,2520,2520.0,,-142.63037109
0.474687471,1.065197973,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-280.989501953
0.687578499,1.065197973,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-131.24902344
0.687578499,1.065197973,2.535003971,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-11.24902344
1.133679604,1.065197973,-1.307872216,-1.026823126,0.627370701,-0.648284928,0,2520,2520.0,,-73.97119141
0.982881161,1.065197973,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-77.81958008
1.94753976,1.065197973,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-104.4760742
0.663293188,-0.659869394,0.229278258,-1.026823126,0.627370701,-0.648284928,0,2520,2520.0,,-111.5151367
2.12381449,-0.659869394,-1.307872216,-1.026823126,0.193224605,-0.648284928,1,2520,,2520.0,-105.5126953
0.007851603,-0.659869394,0.229278258,-1.026823126,0.627370701,-0.648284928,0,2520,2520.0,,-144.876709
0.071838505,1.065197973,-1.307872216,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-58.4448242
1.841254196,1.927731656,2.535003971,-1.026823126,1.495662892,-0.648284928,1,2520,,2520.0,-77.7922363
0.323545029,-0.659869394,2.535003971,-1.026823126,-0.24092149,1.542531618,0,2520,2520.0,,-84.0693359
-0.21140664,1.065197973,0.229278258,-1.026823126,0.627370701,-0.648284928,0,2520,2520.0,,-90.1044922
2.143052291,1.927731656,2.535003971,-1.026823126,1.495662892,-0.648284928,1,2520,,2520.0,-90.5449219
0.237396001,-0.659869394,2.535003971,-1.026823126,-0.24092149,1.542531618,0,2520,2520.0,,-98.8618164
1.881064202,0.20266429,2.535003971,-1.026823126,1.495662892,-0.648284928,1,2520,,2520.0,-56.3154297
1.881064202,0.20266429,2.535003971,-1.026823126,1.495662892,-0.648284928,1,2520,,2520.0,-66.3154297
