ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,"A,t","Y,t","Y0,t","Y1,t",predicted_ite
-0.329009418,1.065197973,0.229278258,0.973877559,-0.24092149,1.542531618,0,2460,2460.0,,-93.10668945
-0.261547961,-0.659869394,-0.539296979,-1.026823126,-0.24092149,1.542531618,0,2520,2520.0,,-53.06982422
-0.137891383,-0.659869394,-0.539296979,-1.026823126,-0.24092149,1.542531618,1,2520,,2520.0,-53.32128906
0.030662192,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2520,2520.0,,-54.0390625
-0.566163541,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-97.38378906
-0.402025231,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-99.89624023
1.961915574,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2520,2520.0,,-91.9675293
0.256041112,-0.659869394,1.766428733,-1.026823126,0.193224605,-0.648284928,0,2520,2520.0,,-94.0012207
-0.827948638,1.927731656,1.766428733,-1.026823126,-0.24092149,1.542531618,0,2520,2520.0,,-95.515625
0.788627566,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-98.99511719
-0.093693768,-0.659869394,0.997853496,-1.026823126,1.061516797,1.542531618,0,2520,2520.0,,-85.46777344
0.031522112,-0.659869394,1.766428733,0.973877559,-0.24092149,-0.648284928,0,2520,2520.0,,-94.69213867
0.597069366,1.065197973,-0.539296979,-1.026823126,-0.24092149,-0.648284928,1,2580,,2580.0,-150.81713867
0.701606048,-0.659869394,-0.539296979,0.973877559,-0.24092149,1.542531618,1,2580,,2580.0,-52.01782227
0.77281072,0.20266429,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-53.47949219
0.094419802,-0.659869394,1.766428733,0.973877559,-0.24092149,-0.648284928,0,2580,2580.0,,-94.94287109
-0.780614021,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,1,2580,,2580.0,-94.99389648
0.886411156,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-96.19287109
-0.553458829,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-97.3737793
0.432562452,-0.659869394,1.766428733,-1.026823126,0.627370701,-0.648284928,1,2580,,2580.0,-91.87158203
0.957636575,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,1,2580,,2580.0,-92.55004883
0.547033918,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-92.7878418
0.162254381,-0.659869394,1.766428733,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-93.01098633
-0.329897251,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,0,2580,2580.0,,-94.69824219
0.817525383,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,1,2580,,2580.0,-98.6875
0.964188909,-0.659869394,1.766428733,0.973877559,-0.24092149,1.542531618,1,2580,,2580.0,-99.58886719
-0.673306816,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,1,2580,,2580.0,-70.84570313
-0.023298278,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-73.06152344
-0.044476625,-0.659869394,0.229278258,-1.026823126,-0.24092149,-0.648284928,0,2580,2580.0,,-73.07885742
-0.990070872,-0.659869394,1.766428733,0.973877559,-0.24092149,-0.648284928,0,2580,2580.0,,-78.66015625
0.611297386,-0.659869394,-0.539296979,-1.026823126,0.627370701,-0.648284928,1,2640,,2640.0,-98.63964844
-3.286477369,1.927731656,0.229278258,0.973877559,-0.24092149,1.542531618,1,2760,,2760.0,-53.59399414
0.831093279,1.065197973,-0.539296979,-1.026823126,0.627370701,-0.648284928,1,2760,,2760.0,-96.84057617
0.097869659,-0.659869394,0.229278258,0.973877559,-0.24092149,1.542531618,1,2880,,2880.0,-97.04150391
0.529343084,0.20266429,-0.539296979,-1.026823126,-0.24092149,-0.648284928,1,2880,,2880.0,-93.69116211
1.534913452,-0.659869394,1.766428733,0.973877559,0.627370701,-0.648284928,1,2880,,2880.0,-100.6557617
0.729842908,-0.659869394,-0.539296979,0.973877559,-0.24092149,-0.648284928,1,3000,,3000.0,-69.62133789
0.492678393,-0.659869394,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,3060,3060.0,,-96.51538086
0.756542951,1.065197973,-0.539296979,-1.026823126,-0.24092149,-0.648284928,0,3600,3600.0,,-95.77587891
