ln_income,mother_edu,caste_religion_group,elec,dist_school_km,poor,collect_fw,piped_water,math_ok,study_min_wk
11.105423283436139,3,1,0,3,0,1,1,1,2220
11.105423283436139,3,1,0,3,0,1,1,0,2160
12.463002941930041,1,2,0,3,0,1,1,1,2160
10.475624621025222,1,2,0,3,0,1,1,1,2160
10.475624621025222,1,2,0,3,0,1,1,0,2160
10.8623778980291,1,1,1,1,0,1,1,1,2520
11.320929259319332,1,1,1,1,0,0,1,0,2520
12.064053908508585,1,2,1,1,0,1,1,0,2880
11.333332183047432,1,2,1,1,0,1,1,0,2520
10.362525022649812,1,3,1,1,0,0,1,0,900
10.45682653965135,1,2,1,1,1,0,1,0,2340
10.45682653965135,1,2,1,1,1,0,1,0,2340
10.787792138552428,1,3,1,1,0,1,1,0,2940
10.756433716893001,1,1,1,1,0,0,1,1,2520
10.756433716893001,1,1,1,1,0,0,1,0,2520
10.78116218843919,1,1,0,1,0,0,1,0,2520
10.78116218843919,1,1,0,1,0,0,1,0,2520
10.431494724510879,1,2,0,1,0,0,1,0,2880
11.466891997618188,1,2,1,1,1,0,1,0,2520
11.466891997618188,1,2,1,1,1,0,1,0,2520
10.499600568082863,1,1,0,1,0,0,1,1,2580
10.499600568082863,1,1,0,1,0,0,1,0,2580
10.287081896226075,1,2,0,1,0,0,1,0,2580
10.287081896226075,1,2,0,1,0,0,1,0,2580
10.563362293832501,1,2,0,2,0,0,1,1,2880
9.69898173460629,1,1,0,1,1,0,1,0,2580
9.459619396895018,1,2,1,1,0,0,1,1,2880
11.01206667357142,1,2,0,1,0,0,1,0,2520
9.638284261844774,1,3,0,1,0,0,1,0,2580
10.558958826115072,1,5,0,1,1,0,1,0,2340
10.558958826115072,1,5,0,1,1,0,1,0,2340
10.786655739574796,3,3,1,1,0,0,1,1,2520
10.506463824584774,1,3,1,1,0,0,1,0,4320
9.546383945305841,1,3,1,1,0,0,1,0,2580
10.176220948190334,1,3,1,1,0,1,1,0,2580
10.043292972227004,1,5,1,1,1,0,1,1,2520
9.415808631610384,1,5,1,1,0,0,1,0,1800
9.96274653641105,1,5,1,1,0,0,1,1,2580
9.96274653641105,1,5,1,1,0,0,1,0,2580
9.885883506587767,2,5,1,1,0,0,1,0,2580
9.749228533507058,1,3,1,1,0,0,1,0,2520
9.834191063533472,3,2,1,3,0,0,1,1,2580
10.859556534418696,2,2,1,1,0,0,1,0,2580
11.887732033013489,3,1,1,2,0,0,1,0,2160
10.930048726626888,3,1,0,1,0,0,1,1,2520
9.794007451917308,1,2,1,1,1,0,1,0,0
9.794007451917308,1,2,1,1,1,0,1,0,0
10.650554575085504,3,2,1,1,0,1,1,0,2520
9.442324727955874,1,2,1,1,1,0,1,0,3000
9.531626451841742,1,2,1,1,0,0,1,0,2640
10.147452819542636,3,1,1,1,0,0,1,0,2580
10.721194753031481,1,3,1,1,0,0,1,0,2580
11.834073744348915,3,3,1,2,1,1,1,1,1980
