ln_income;mother_edu;caste_religion_group;elec;dist_school_km;poor;A/t;Y/t;predicted_ite
-0,451877395;-0,67090392;-1,249824095;-1,052821796;-0,336346989;1,537980694;1;3000;-28,89526367
-0,298516268;0,99446042;-0,487736232;-1,052821796;-0,336346989;-0,65020322;0;2580;-33,34741211
0,423698799;-0,67090392;-0,487736232;-1,052821796;-0,336346989;-0,65020322;0;3060;-29,75585938
2,596694474;0,99446042;0,274351631;-1,052821796;-0,336346989;-0,65020322;1;3420;-31,83349609
-0,052161146;2,65982476;-1,249824095;-1,052821796;0,314047741;-0,65020322;1;2160;-30,45458984
-1,333593345;0,99446042;-1,249824095;-1,052821796;0,314047741;-0,65020322;1;2880;-36,69287109
0,562360575;-0,67090392;0,274351631;0,94982836;-0,336346989;-0,65020322;0;2340;-28,0534668
0,51521547;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;1;2940;-28,30151367
-0,865581519;-0,67090392;-0,487736232;0,94982836;1,614837202;1,537980694;0;2400;-32,17382813
-0,252980089;-0,67090392;0,274351631;-1,052821796;-0,336346989;-0,65020322;0;2880;-39,53320313
0,163286015;0,99446042;-0,487736232;0,94982836;0,314047741;-0,65020322;1;2160;-30,06347656
0,050543433;-0,67090392;-0,487736232;0,94982836;-0,336346989;1,537980694;0;2100;-28,36254883
-1,294069574;-0,67090392;-0,487736232;0,94982836;0,314047741;-0,65020322;0;2580;-33,5715332
-0,990687322;-0,67090392;0,274351631;0,94982836;-0,336346989;1,537980694;0;3120;-28,06982422
1,377029811;-0,67090392;1,798527356;-1,052821796;4,216416122;-0,65020322;0;3000;-33,64135742
-0,030735124;0,99446042;-1,249824095;-1,052821796;-0,336346989;-0,65020322;0;2160;-28,64477539
-1,158679488;-0,67090392;-0,487736232;0,94982836;-0,336346989;-0,65020322;0;2280;-32,86865234
0,631437812;0,99446042;-0,487736232;-1,052821796;-0,336346989;1,537980694;0;2760;-28,58276367
1,695447124;2,65982476;-1,249824095;-1,052821796;-0,336346989;-0,65020322;0;2520;-31,52026367
1,608023553;0,16177825;1,798527356;-1,052821796;0,314047741;-0,65020322;0;2520;-32,41625977
-2,270823248;0,99446042;0,274351631;0,94982836;0,964442471;-0,65020322;1;2100;-29,83447266
1,283475049;0,99446042;-1,249824095;-1,052821796;-0,336346989;-0,65020322;1;2280;-31,47045898
-0,379015956;2,65982476;-1,249824095;-1,052821796;-0,336346989;-0,65020322;1;2520;-31,64697266
-0,542091748;-0,67090392;0,274351631;0,94982836;-0,336346989;-0,65020322;0;2220;-27,55981445
0,869322492;-0,67090392;-0,487736232;0,94982836;-0,336346989;1,537980694;0;1440;-31,06713867
0,452275385;0,99446042;-1,249824095;0,94982836;-0,336346989;-0,65020322;0;2400;-31,7355957
-0,958842331;-0,67090392;0,274351631;0,94982836;-0,336346989;-0,65020322;0;2160;-28,22387695
-0,374260985;-0,67090392;0,274351631;0,94982836;-0,336346989;1,537980694;0;2400;-27,57104492
-0,965820407;-0,67090392;-0,487736232;-1,052821796;-0,336346989;1,537980694;1;2220;-27,79223633
0,194965614;-0,67090392;-0,487736232;-1,052821796;-0,336346989;-0,65020322;1;480;-29,73999023
