ln_income;mother_edu;caste_religion_group;elec;dist_school_km;poor;A_t;Y_t;predicted_ite
-0,273222954;-0,633456634;1,620101774;-0,907147544;-0,350433819;-0,610367938;1;1800;22,05273438
0,148845802;-0,633456634;0,158669761;1,102356509;-0,350433819;-0,610367938;1;2580;23,5859375
0,670934114;-0,633456634;1,620101774;-0,907147544;-0,350433819;1,638356044;0;2520;19,29870605
0,472214121;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;1;2640;25,26611328
0,420491819;-0,633456634;0,889385768;-0,907147544;-0,350433819;-0,610367938;0;2220;23,66015625
0,60631711;-0,633456634;0,158669761;1,102356509;-0,350433819;1,638356044;0;2400;25,31030273
0,823741045;-0,633456634;-0,572046245;-0,907147544;-0,350433819;-0,610367938;1;2220;26,47143555
0,51654299;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;2520;24,07519531
1,614430641;2,817279893;1,620101774;-0,907147544;-0,350433819;-0,610367938;0;2760;34,78979492
-0,121637328;-0,633456634;-0,572046245;-0,907147544;-0,350433819;-0,610367938;1;2340;26,08300781
0,766981544;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;1;2580;24,96118164
0,014360046;-0,633456634;1,620101774;1,102356509;-0,350433819;-0,610367938;0;2520;20,12890625
2,01417989;1,09191163;0,158669761;1,102356509;-0,350433819;1,638356044;0;1980;29,40039063
-0,779254246;-0,633456634;-0,572046245;-0,907147544;-0,350433819;1,638356044;1;2220;23,72924805
-0,43018293;-0,633456634;-0,572046245;1,102356509;-0,350433819;1,638356044;0;2340;23,87646484
1,152074252;-0,633456634;0,158669761;1,102356509;1,566001129;-0,610367938;0;2580;23,48266602
0,680971279;1,954595761;-1,302762251;-0,907147544;-0,350433819;-0,610367938;0;2160;26,17553711
0,108683427;-0,633456634;-0,572046245;1,102356509;-0,350433819;-0,610367938;0;2040;22,63208008
-0,341677637;-0,633456634;-0,572046245;-0,907147544;-0,350433819;1,638356044;1;2280;24,07641602
0,181768288;-0,633456634;-1,302762251;-0,907147544;0,607783655;-0,610367938;0;2580;23,21069336
-0,763284444;-0,633456634;1,620101774;-0,907147544;-0,350433819;-0,610367938;1;2580;21,88525391
-1,320657105;2,817279893;0,158669761;-0,907147544;1,566001129;-0,610367938;0;2580;16,53381348
-0,137625026;-0,633456634;-0,572046245;1,102356509;-0,350433819;1,638356044;1;2100;27,85522461
-2,697954827;-0,633456634;0,158669761;-0,907147544;-0,350433819;-0,610367938;0;2340;24,47265625
-0,049423886;1,09191163;1,620101774;1,102356509;-0,350433819;-0,610367938;0;2640;25,19433594
0,602360688;-0,633456634;0,158669761;1,102356509;-0,350433819;1,638356044;0;2520;28,85302734
0,974550572;1,09191163;-1,302762251;-0,907147544;-0,350433819;-0,610367938;0;3000;27,80908203
